Matricula,PROGRAMA EDUCATIVO,BAJA 1ER CUATRI,BAJA 2DO CUATRI,BAJA 3ER CUATRI,Estado civil,Hijos,Problema o padecimiento,Razonamiento matem‡tico,Razonamiento abstracto,R. Verbal,R. Espacial,Inform‡tica,C‡lculo,Comunicaci—n,Mec‡nico,Servicio,Finanzas,Trabaja,Ingreso mensual de padre,Ingreso mensual de madre,Ingresos mensuales familiares,UPQ Primera opci—n,Minutos de trayecto a la universidad,Probabilidad Baja (%)
124050312,3,,,,3,0,0,0.6,0.2,0.04,0.45,0.76,0.9,0.9,0.72,0.94,0.82,0,0.2,0,0.15,1,0.041666667,4.619432449
124049698,1,,,,3,0,0,0,0.85,0.4,0.97,0.44,0.76,0.64,0.88,0.78,0.9,0,0.083333333,0,0.0625,1,0.0625,4.613285065
124050174,0,,,,3,0,0,0.2,0.7,0.02,0.96,0.76,0.8,0.76,0.78,0.94,0.74,0,0.208333333,0.0875,0.1875,1,0.041666667,4.613120079
124048529,1,,,,3,0,0,0,0.4,0.35,0.75,0.76,0.72,0.72,0.68,0.62,0.78,0,0,0.0875,0,1,0.083333333,4.599841118
124050525,3,,,,3,0,0,0.1,0.4,0.3,0.2,0.76,0.86,0.82,0.68,0.88,0.84,1,0.029166667,0,0.025,1,0.03125,4.595027924
124049243,1,,,,3,0,0,0.75,0.3,0.1,0.55,0.66,0.66,0.68,0.8,0.88,0.7,0,0.083333333,0.15,0.1125,1,0.041666667,4.593257427
124049948,1,,,,3,0,0,0.9,0.15,0.25,0.1,0.6,0.66,0.48,0.78,0.64,0.62,0,0.125,0.075,0.10625,1,0,4.475687981
124049657,6,,,,3,0,0,0.4,0.2,0.4,0.15,0.72,0.58,0.56,0.7,0.66,0.64,0,0.225,0.1625,0.16875,0,0.06875,4.471443653
124049972,1,,,,3,0,0,0.75,0.4,0.85,0.9,0.7,0.64,0.74,0.84,0.8,0.62,0,0.083333333,0,0.0625,1,0.0625,4.469896793
124048846,0,,,,3,0,0,0.75,0.75,0.05,0.75,0.76,0.74,0.78,0.7,0.8,0.82,0,0.116666667,0.015,0.095,1,0.09375,4.461106777
124048831,3,,,,3,0,0,0.03,0.2,0.99,0.2,0.62,0.72,0.6,0.48,0.84,0.62,0,0.1,0,0.075,1,0.041666667,4.460589886
124045356,0,,,,3,0,0,0,0.75,0.5,0.9,0.56,0.64,0.68,0.58,0.74,0.62,1,0,0.08125,0.040625,1,0.083333333,4.453066826
124050143,1,,,,3,0,0,0.4,0.45,0.15,0.1,0.52,0.62,0.62,0.64,0.76,0.56,0,0.166666667,0,0.125,1,0.020833333,4.432879925
124049100,1,,,,3,0,0,0.7,0.01,0.04,0.25,0.66,0.66,0.7,0.78,0.82,0.7,0,0.016666667,0,0,1,0.072916667,4.369159222
124049739,3,,,,3,0,0,0.75,0.35,0.25,0.3,0.58,0.68,0.54,0.7,0.54,0.64,0,0.041666667,0.0625,0.0625,1,0.041666667,4.323133469
124050073,3,,,,3,0,0,0.55,0.02,0.02,0.1,0.62,0.58,0.64,0.6,0.58,0.6,1,0,0,0,1,0.0625,4.301736355
124050669,7,,,,3,0,0,0,0.55,0.2,0.85,0.7,0.6,0.74,0.82,0.76,0.76,0,0.058333333,0.0875,0.0875,0,0.041666667,4.266289234
124049192,4,,,,3,0,0,0.9,0.75,0.4,0.4,0.64,0.62,0.48,0.78,0.62,0.72,0,0.208333333,0.075,0.19375,0,0.375,4.264454365
124049067,0,,,,3,0,0,0.1,0.4,0.1,0.75,0.58,0.64,0.68,0.76,0.82,0.64,0,0.016666667,0,0,1,0.0625,4.248351574
124050350,1,,,,3,0,0,0.35,0.04,0.2,0.97,0.56,0.4,0.82,0.84,0.82,0.76,0,0,0,0,1,0.052083333,4.242667675
124049053,1,,,,3,0,0,0,0.1,0.01,0.7,0.42,0.74,0.42,0.58,0.5,0.58,0,0.125,0,0.09375,1,0.020833333,4.236421108
124050094,3,,,,3,0,0,0.4,0.1,0.01,0.45,0.94,0.7,0.86,0.88,0.98,0.74,0,0.095833333,0.125,0.134375,1,0.041666667,4.233006954
124049578,3,,,,3,0,0,0.6,0.02,0.05,0.05,0.68,0.62,0.62,0.82,0.7,0.72,1,0.125,0,0,1,0.0625,4.22659111
124049933,1,,,,3,0,0,0.6,0.02,0.01,0.2,0.74,0.64,0.58,0.8,0.74,0.7,1,0,0,0,1,0.0625,4.211721897
124049920,6,,,,3,0,0,0.9,0.55,0.35,0.85,0.48,0.58,0.72,0.52,0.88,0.48,0,0.083333333,0.1,0.0625,0,0.03125,4.211137772
124049048,1,,,,3,0,0,0.7,0.45,0.35,0.7,0.68,0.46,0.7,0.82,0.86,0.68,0,0.066666667,0.2,0.15,1,0.03125,4.206106186
124048915,0,,,,3,0,0,0.98,0.55,0.15,0.85,0.88,0.88,0.76,0.6,0.96,0.62,0,0.1,0,0.1,1,0.052083333,4.170408726
124049855,1,,,,3,0,0,0.15,0.3,0.1,0.05,0.58,0.66,0.52,0.74,0.58,0.62,0,0,0,0,1,0.052083333,4.123293877
124048700,1,,,,3,0,0,0.85,0.4,0.25,0.6,0.66,0.6,0.54,0.76,0.82,0.56,0,0.083333333,0,0.09375,1,0.041666667,4.097652435
124049881,3,,,,3,0,0,0.4,0.02,0.35,0.2,0.66,0.84,0.8,0.76,0.8,0.84,0,0.166666667,0,0.125,1,0.052083333,4.091047287
124048942,5,,,,3,0,0,0.15,0.2,0.01,0.15,0.72,0.68,0.74,0.68,0.74,0.78,1,0.25,0.3125,0.3125,0,0.041666667,4.082731247
124049291,1,,,,3,0,0,0.8,0.04,0.85,0.97,0.72,0.8,0.72,0.7,0.82,0.68,0,0.083333333,0.0675,0.09625,1,0.104166667,4.082249165
124048851,1,,,,3,0,0,0.75,0.15,0.2,0.5,0.58,0.68,0.58,0.72,0.8,0.64,1,0.013333333,0.1125,0.075,1,0.03125,4.075526714
124049342,0,,,,3,0,0,0.2,0.55,0.5,0.55,0.72,0.76,0.88,0.68,0.92,0.82,1,0,0,0,1,0.25,4.063855648
124049187,1,,,,3,0,0,0.7,0.95,0.35,0.8,0.64,0.7,0.68,0.68,0.74,0.74,1,0,0,0,1,0.0625,4.049971104
124048815,1,,,,3,0,0,0.9,0.75,0.3,0.6,0.68,0.8,0.7,0.82,0.76,0.76,0,0,0.09375,0.046875,1,0.041666667,4.049242496
124049394,0,,,,3,0,0,0.6,0.25,0.98,0.2,0.52,0.66,0.64,0.46,0.9,0.58,1,0,0,0,1,0.052083333,4.040407181
124050567,5,,,,3,0,0,0,0.75,0.2,0.7,0.52,0.44,0.48,0.58,0.74,0.46,0,0,0,0,1,0.041666667,4.036977291
124049248,0,,,,3,0,0,0.75,0.25,0.15,0.7,0.7,0.78,0.8,0.6,0.8,0.76,0,0.083333333,0,0.0625,1,0.1875,4.035370827
124048953,3,,,,3,0,0,0.55,0.1,0.1,0.25,0.66,0.64,0.64,0.68,0.62,0.68,1,0,0,0,1,0.083333333,4.028012753
124050172,2,,,,3,0,0,0.35,0.25,0.55,0.55,1,0.9,0.74,0.72,0.98,0.7,0,0.041666667,0,0.0625,1,0.104166667,4.015807629
124049058,5,,,,3,0,0,0.9,0.1,0.05,0.15,0.82,0.76,0.88,0.56,0.96,0.82,1,0.075,0,0.0625,0,0.125,4.012486458
124050262,0,,,,3,0,0,0.8,0.03,0.99,0.1,0.8,0.94,0.92,0.68,0.96,0.92,0,0.045833333,0,0.034375,1,0.083333333,4.007122993
124050054,1,,,,3,0,0,0.03,0.15,0.04,0.4,0.62,0.66,0.64,0.84,0.74,0.66,0,0.05,0.025,0.04375,1,0.03125,3.999359131
124050027,3,,,,3,0,0,0.35,0.1,0.01,0.15,0.74,0.6,0.82,0.88,0.88,0.78,1,0.05,0,0.0375,1,0.041666667,3.999186277
124048878,0,,,,3,0,0,0.6,0.7,0.1,0.8,0.38,0.46,0.46,0.5,0.5,0.44,0,0.041666667,0,0.03125,1,0.0625,3.97715354
124050320,0,,,,3,0,0,0.35,0.75,0.1,0.75,0.58,0.78,0.74,0.76,0.88,0.88,1,0.05,0.075,0.08125,1,0.0625,3.9706707
124049708,3,,,,3,0,0,0.15,0.55,0.1,0.75,0.42,0.32,0.42,0.84,0.52,0.48,1,0.05,0.0625,0.06875,1,0.041666667,3.966102123
124050128,1,,,,3,0,0,0.25,0.2,0.55,0.75,0.64,0.9,0.7,0.92,0.78,0.82,0,0.066666667,0.075,0.0625,1,0.1875,3.959947824
